id,order_channel,sample,algebraic_stage,method,object_count,kernels,input_metric,input_bytes,output_metric,output_bytes,seconds,exactness,remarks
NLO-UU-5-pairs,NLO UU,5x5,pair construction,full pair construction,25,,serialized bytes,,serialized bytes,1086418,13.346533,exact symbolic result,Output is the complete pair store
NLO-UU-5-kira,NLO UU,5x5,IBP,Kira reduction,77 targets,,not recorded,,serialized bytes,131294,50.182383,77 targets to 6 masters,KiraResult.wl size is listed
NLO-UU-5-final,NLO UU,5x5,post-IBP,complete coefficient stage,6,4,not recorded,,serialized bytes,170483,48.552773,exact zero checks and fraction independence,Final IBPResult.wl
NLO-UU-10-pairfirst,NLO UU,10x10,pre-IBP-substitution,pair-first Simplify,1332,4,ByteCount,89111000,ByteCount,2694944,43.403437,route comparison not independently certified in BenchmarkSummary,Final master ByteCount 1574064
NLO-UU-10-targetfirst,NLO UU,10x10,pre-IBP-substitution,target-first Simplify,117,4,ByteCount,46940920,ByteCount,1362792,23.715032,route comparison not independently certified in BenchmarkSummary,Final master ByteCount 1548952
NLO-UU-10-masterfirst,NLO UU,10x10,post-IBP,master-first Simplify,1,,not recorded,,not recorded,,281,unfinished,One coefficient still running at lower bound
NLO-UU-10-targetmaster,NLO UU,10x10,post-IBP,target-then-master second stage,8,4,ByteCount,1646272,ByteCount,1036008,62.125419,exact symbolic data,Additional to 23.715032 s target stage; final master ByteCount 1041912
NLO-UU-largest-termwise,NLO UU,largest target,pre-IBP-substitution,termwise Simplify,,1,ByteCount,3517376,ByteCount,49016,4.837548,equality check reached time bound,Compression and timing only
NLO-UU-largest-whole,NLO UU,largest target,pre-IBP-substitution,whole Simplify,,1,ByteCount,3517376,ByteCount,327568,86.377599,equality check reached time bound,Slower and larger than termwise
NLO-UU-largest-full,NLO UU,largest target,pre-IBP-substitution,whole FullSimplify,,1,ByteCount,3517376,not recorded,,120.045474,unfinished,No retained result
NLO-UU-largest-struct,NLO UU,largest target,pre-IBP-substitution,FactorTerms Cancel Together,,1,ByteCount,3517376,ByteCount,6812872,50.349633,exact rational transformation,Expression expanded
